country,year,tfr,estimate_method,subgroup,bloc
Lithuania,2005,1.291236,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2006,1.322227,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2007,1.358856,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2008,1.444071,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2009,1.499453,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2010,1.499202,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2011,1.548247,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2012,1.591134,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2013,1.58291,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2014,1.628049,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2015,1.705244,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2016,1.692274,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2017,1.633237,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2018,1.635176,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2019,1.610225,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2020,1.487075,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2021,1.35873,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2022,1.27,Interpolation,Baltic,Rest of post-Soviet
Lithuania,2023,1.201006,Interpolation,Baltic,Rest of post-Soviet
Armenia,2000,1.469829,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2001,1.402,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2002,1.405,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2003,1.472834,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2004,1.490542,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2005,1.492145,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2006,1.494005,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2007,1.519056,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2008,1.541028,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2009,1.574183,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2010,1.587759,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2011,1.615303,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2012,1.647433,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2013,1.668943,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2014,1.663358,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2015,1.62067,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2016,1.6248,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2017,1.56087,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2018,1.56746,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2019,1.60075,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2020,1.619121,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2021,1.7095,Interpolation,Caucasus,Rest of post-Soviet
Armenia,2022,1.719447,Projection,Caucasus,Rest of post-Soviet
Armenia,2023,1.713989,Projection,Caucasus,Rest of post-Soviet
Azerbaijan,2000,1.698,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2001,1.5895,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2002,1.5765,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2003,1.590928,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2004,1.965471,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2005,1.98187,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2006,2.019311,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2007,1.96811,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2008,1.90432,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2009,1.82076,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2010,1.924,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2011,1.98,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2012,2.141852,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2013,2.147511,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2014,2.130517,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2015,2.091657,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2016,2.032279,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2017,1.961045,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2018,1.905225,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2019,1.845177,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2020,1.764272,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2021,1.710071,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2022,1.687181,Interpolation,Caucasus,Rest of post-Soviet
Azerbaijan,2023,1.670472,Projection,Caucasus,Rest of post-Soviet
Georgia,2000,1.609324,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2001,1.579177,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2002,1.570594,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2003,1.551747,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2004,1.565929,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2005,1.583265,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2006,1.616842,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2007,1.6968,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2008,1.831635,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2009,1.9926,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2010,1.9728,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2011,1.915175,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2012,1.929131,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2013,1.992728,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2014,2.18,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2015,2.21445,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2016,2.22789,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2017,2.13639,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2018,2.09321,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2019,2.02114,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2020,1.9759,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2021,1.98,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2022,1.82,Interpolation,Caucasus,Rest of post-Soviet
Georgia,2023,1.81,Projection,Caucasus,Rest of post-Soviet
Kazakhstan,2000,1.89809,Interpolation,Central Asia,Central Asia
Kazakhstan,2001,1.905696,Interpolation,Central Asia,Central Asia
Kazakhstan,2002,1.95617,Interpolation,Central Asia,Central Asia
Kazakhstan,2003,2.075107,Interpolation,Central Asia,Central Asia
Kazakhstan,2004,2.201442,Interpolation,Central Asia,Central Asia
Kazakhstan,2005,2.274309,Interpolation,Central Asia,Central Asia
Kazakhstan,2006,2.38042,Interpolation,Central Asia,Central Asia
Kazakhstan,2007,2.49025,Interpolation,Central Asia,Central Asia
Kazakhstan,2008,2.616441,Interpolation,Central Asia,Central Asia
Kazakhstan,2009,2.579726,Interpolation,Central Asia,Central Asia
Kazakhstan,2010,2.61,Interpolation,Central Asia,Central Asia
Kazakhstan,2011,2.605,Interpolation,Central Asia,Central Asia
Kazakhstan,2012,2.64,Interpolation,Central Asia,Central Asia
Kazakhstan,2013,2.67,Interpolation,Central Asia,Central Asia
Kazakhstan,2014,2.76,Interpolation,Central Asia,Central Asia
Kazakhstan,2015,2.755,Interpolation,Central Asia,Central Asia
Kazakhstan,2016,2.795,Interpolation,Central Asia,Central Asia
Kazakhstan,2017,2.745,Interpolation,Central Asia,Central Asia
Kazakhstan,2018,2.845,Interpolation,Central Asia,Central Asia
Kazakhstan,2019,2.89,Interpolation,Central Asia,Central Asia
Kazakhstan,2020,3.13,Interpolation,Central Asia,Central Asia
Kazakhstan,2021,3.32,Interpolation,Central Asia,Central Asia
Kazakhstan,2022,3.05,Interpolation,Central Asia,Central Asia
Kazakhstan,2023,3.012421,Projection,Central Asia,Central Asia
Kyrgyzstan,2000,2.576373,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2001,2.545637,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2002,2.565579,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2003,2.595357,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2004,2.630736,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2005,2.644842,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2006,2.743576,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2007,2.780943,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2008,2.838361,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2009,2.954713,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2010,3.09639,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2011,3.140412,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2012,3.182737,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2013,3.149759,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2014,3.209546,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2015,3.208325,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2016,3.104141,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2017,3.043527,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2018,3.28,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2019,3.33,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2020,3.05,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2021,2.89,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2022,2.81,Interpolation,Central Asia,Central Asia
Kyrgyzstan,2023,2.8,Projection,Central Asia,Central Asia
Tajikistan,2000,3.49,Interpolation,Central Asia,Central Asia
Tajikistan,2001,3.49,Interpolation,Central Asia,Central Asia
Tajikistan,2002,3.47,Interpolation,Central Asia,Central Asia
Tajikistan,2003,3.42,Interpolation,Central Asia,Central Asia
Tajikistan,2004,3.507367,Interpolation,Central Asia,Central Asia
Tajikistan,2005,3.397875,Interpolation,Central Asia,Central Asia
Tajikistan,2006,3.341013,Interpolation,Central Asia,Central Asia
Tajikistan,2007,3.367402,Interpolation,Central Asia,Central Asia
Tajikistan,2008,3.388089,Interpolation,Central Asia,Central Asia
Tajikistan,2009,3.429676,Interpolation,Central Asia,Central Asia
Tajikistan,2010,3.456939,Interpolation,Central Asia,Central Asia
Tajikistan,2011,3.456335,Interpolation,Central Asia,Central Asia
Tajikistan,2012,3.421208,Interpolation,Central Asia,Central Asia
Tajikistan,2013,3.432918,Interpolation,Central Asia,Central Asia
Tajikistan,2014,3.459384,Interpolation,Central Asia,Central Asia
Tajikistan,2015,3.458874,Interpolation,Central Asia,Central Asia
Tajikistan,2016,3.384335,Interpolation,Central Asia,Central Asia
Tajikistan,2017,3.290289,Interpolation,Central Asia,Central Asia
Tajikistan,2018,3.294309,Interpolation,Central Asia,Central Asia
Tajikistan,2019,3.281065,Interpolation,Central Asia,Central Asia
Tajikistan,2020,3.211409,Projection,Central Asia,Central Asia
Tajikistan,2021,3.16958,Projection,Central Asia,Central Asia
Tajikistan,2022,3.126816,Projection,Central Asia,Central Asia
Tajikistan,2023,3.072325,Projection,Central Asia,Central Asia
Uzbekistan,2000,2.696102,Interpolation,Central Asia,Central Asia
Uzbekistan,2001,2.609737,Interpolation,Central Asia,Central Asia
Uzbekistan,2002,2.574738,Interpolation,Central Asia,Central Asia
Uzbekistan,2003,2.503429,Interpolation,Central Asia,Central Asia
Uzbekistan,2004,2.496159,Interpolation,Central Asia,Central Asia
Uzbekistan,2005,2.4381,Interpolation,Central Asia,Central Asia
Uzbekistan,2006,2.461132,Interpolation,Central Asia,Central Asia
Uzbekistan,2007,2.573356,Interpolation,Central Asia,Central Asia
Uzbekistan,2008,2.634888,Interpolation,Central Asia,Central Asia
Uzbekistan,2009,2.559144,Interpolation,Central Asia,Central Asia
Uzbekistan,2010,2.44213,Interpolation,Central Asia,Central Asia
Uzbekistan,2011,2.353628,Interpolation,Central Asia,Central Asia
Uzbekistan,2012,2.336733,Interpolation,Central Asia,Central Asia
Uzbekistan,2013,2.445493,Interpolation,Central Asia,Central Asia
Uzbekistan,2014,2.546374,Interpolation,Central Asia,Central Asia
Uzbekistan,2015,2.582871,Interpolation,Central Asia,Central Asia
Uzbekistan,2016,2.564492,Interpolation,Central Asia,Central Asia
Uzbekistan,2017,2.570115,Interpolation,Central Asia,Central Asia
Uzbekistan,2018,2.712941,Interpolation,Central Asia,Central Asia
Uzbekistan,2019,2.869214,Interpolation,Central Asia,Central Asia
Uzbekistan,2020,3.062255,Interpolation,Central Asia,Central Asia
Uzbekistan,2021,3.272864,Interpolation,Central Asia,Central Asia
Uzbekistan,2022,3.396064,Interpolation,Central Asia,Central Asia
Uzbekistan,2023,3.5,Projection,Central Asia,Central Asia
Belarus,2000,1.272026,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2001,1.241296,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2002,1.202037,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2003,1.191985,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2004,1.195872,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2005,1.220702,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2006,1.305459,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2007,1.393832,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2008,1.448514,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2009,1.481058,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2010,1.478168,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2011,1.524056,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2012,1.623373,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2013,1.673131,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2014,1.701985,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2015,1.728063,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2016,1.727121,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2017,1.549854,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2018,1.457408,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2019,1.389239,Interpolation,Eastern European,Rest of post-Soviet
Belarus,2020,1.369058,Projection,Eastern European,Rest of post-Soviet
Belarus,2021,1.370554,Projection,Eastern European,Rest of post-Soviet
Belarus,2022,1.326413,Projection,Eastern European,Rest of post-Soviet
Belarus,2023,1.207569,Projection,Eastern European,Rest of post-Soviet
Moldova,2000,1.496288,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2001,1.470664,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2002,1.447661,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2003,1.479474,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2004,1.543093,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2005,1.527853,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2006,1.536956,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2007,1.574659,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2008,1.637536,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2009,1.718999,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2010,1.703264,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2011,1.650123,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2012,1.661143,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2013,1.621657,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2014,1.82,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2015,1.87,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2016,1.89,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2017,1.81,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2018,1.81,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2019,1.78,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2020,1.77,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2021,1.7505,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2022,1.694409,Interpolation,Eastern European,Rest of post-Soviet
Moldova,2023,1.730637,Projection,Eastern European,Rest of post-Soviet
Russia,2000,1.189782,Interpolation,Eastern European,Rest of post-Soviet
Russia,2001,1.220712,Interpolation,Eastern European,Rest of post-Soviet
Russia,2002,1.287229,Interpolation,Eastern European,Rest of post-Soviet
Russia,2003,1.333674,Interpolation,Eastern European,Rest of post-Soviet
Russia,2004,1.345017,Interpolation,Eastern European,Rest of post-Soviet
Russia,2005,1.298916,Interpolation,Eastern European,Rest of post-Soviet
Russia,2006,1.314641,Interpolation,Eastern European,Rest of post-Soviet
Russia,2007,1.427691,Interpolation,Eastern European,Rest of post-Soviet
Russia,2008,1.517152,Interpolation,Eastern European,Rest of post-Soviet
Russia,2009,1.558792,Interpolation,Eastern European,Rest of post-Soviet
Russia,2010,1.585282,Interpolation,Eastern European,Rest of post-Soviet
Russia,2011,1.600857,Interpolation,Eastern European,Rest of post-Soviet
Russia,2012,1.708244,Interpolation,Eastern European,Rest of post-Soviet
Russia,2013,1.724581,Interpolation,Eastern European,Rest of post-Soviet
Russia,2014,1.766485,Interpolation,Eastern European,Rest of post-Soviet
Russia,2015,1.790093,Interpolation,Eastern European,Rest of post-Soviet
Russia,2016,1.773402,Interpolation,Eastern European,Rest of post-Soviet
Russia,2017,1.626532,Interpolation,Eastern European,Rest of post-Soviet
Russia,2018,1.581342,Interpolation,Eastern European,Rest of post-Soviet
