country,year,remittances_gdp_pct
Kyrgyzstan,2000,0.163812064068962
Kyrgyzstan,2001,0.297284121287703
Kyrgyzstan,2002,1.88667073714928
Kyrgyzstan,2003,3.66479861905155
Kyrgyzstan,2004,8.09652452257376
Kyrgyzstan,2005,12.7324731237381
Kyrgyzstan,2006,16.6917334209106
Kyrgyzstan,2007,18.513914681679
Kyrgyzstan,2008,23.7992695009347
Kyrgyzstan,2009,20.9371247573683
Kyrgyzstan,2010,26.4100938758912
Kyrgyzstan,2011,27.5695150811653
Kyrgyzstan,2012,30.7544325527209
Kyrgyzstan,2013,31.0564092290657
Kyrgyzstan,2014,30.0320907271748
Kyrgyzstan,2015,25.2718946040713
Kyrgyzstan,2016,29.2760903334236
Kyrgyzstan,2017,32.2705172692664
Kyrgyzstan,2018,32.5055687336898
Kyrgyzstan,2019,28.7859049850987
Kyrgyzstan,2020,31.8069826721848
Kyrgyzstan,2021,32.5635356064056
Kyrgyzstan,2022,26.5775606386275
Kyrgyzstan,2023,
Latvia,2000,3.24916548495243
Latvia,2001,3.34142859855123
Latvia,2002,1.21699024462232
Latvia,2003,1.4007321575177
Latvia,2004,1.58071221596804
Latvia,2005,2.32449363884608
Latvia,2006,2.34955653000909
Latvia,2007,1.87110120062372
Latvia,2008,5.62594953465104
Latvia,2009,6.17581400071879
Latvia,2010,5.35771550553895
Latvia,2011,5.66570960282216
Latvia,2012,5.52657807437145
Latvia,2013,5.5036877983812
Latvia,2014,5.13085900004383
Latvia,2015,5.0703767353682
Latvia,2016,4.55411994517047
Latvia,2017,4.33514862848996
Latvia,2018,3.72158241623154
Latvia,2019,3.45205124469257
Latvia,2020,3.26049152549512
Latvia,2021,3.45020908059925
Latvia,2022,3.40541390123867
Latvia,2023,2.88631577171599
Lithuania,2000,0.432376552714905
Lithuania,2001,0.645555344192364
Lithuania,2002,0.764919527460817
Lithuania,2003,0.610520440247571
Lithuania,2004,2.53919307476166
Lithuania,2005,2.85487616028856
Lithuania,2006,3.30190488506664
Lithuania,2007,3.60716310368191
Lithuania,2008,3.27256598885755
Lithuania,2009,3.30674682269735
Lithuania,2010,4.56671804926548
Lithuania,2011,4.5278395086244
Lithuania,2012,3.52892651275714
Lithuania,2013,4.44868367241846
Lithuania,2014,4.37464712421907
Lithuania,2015,3.30473244592127
Lithuania,2016,2.97861311278016
Lithuania,2017,2.72747361994343
Lithuania,2018,2.55608663061799
Lithuania,2019,2.36555049630818
Lithuania,2020,1.37702741376978
Lithuania,2021,1.16066302778464
Lithuania,2022,1.03605141610572
Lithuania,2023,1.22409792475394
Moldova,2000,13.7826722310316
Moldova,2001,16.3580954622492
Moldova,2002,19.4118710536305
Moldova,2003,24.434256316304
Moldova,2004,26.9939428415335
Moldova,2005,30.621653152555
Moldova,2006,34.4991746381553
Moldova,2007,33.8832385938611
Moldova,2008,31.1820776721655
Moldova,2009,24.8619604986136
Moldova,2010,25.1302427320706
Moldova,2011,21.5478268033462
Moldova,2012,22.8086850294921
Moldova,2013,23.0768148398865
Moldova,2014,22.0793458644557
Moldova,2015,19.751035292269
Moldova,2016,18.3841028050973
Moldova,2017,17.2146358007248
Moldova,2018,16.3337386523032
Moldova,2019,16.2728382462381
Moldova,2020,16.274922384411
Moldova,2021,15.4787484391198
Moldova,2022,14.0294158168182
Moldova,2023,12.0387300286119
Russia,2000,0.192503071220407
Russia,2001,0.32172320232662
Russia,2002,0.270929070680024
Russia,2003,0.258790908871147
Russia,2004,0.373382010119783
Russia,2005,0.449802113997943
Russia,2006,0.385923449755519
Russia,2007,0.359030354019774
Russia,2008,0.34542413264832
Russia,2009,0.417541988221401
Russia,2010,0.344282408841521
Russia,2011,0.298313804363493
Russia,2012,0.262090607919179
Russia,2013,0.294477562161684
Russia,2014,0.377640974141187
Russia,2015,0.506305846173427
Russia,2016,0.523867598943551
Russia,2017,0.523123068702963
Russia,2018,0.560375837837153
Russia,2019,0.616170784814508
Russia,2020,0.66406336325159
Russia,2021,0.527388477992061
Russia,2022,0.141610832659861
Russia,2023,0.126306674820383
Tajikistan,2000,
Tajikistan,2001,
Tajikistan,2002,6.43374005428851
Tajikistan,2003,9.38871507024825
Tajikistan,2004,12.1377953734503
Tajikistan,2005,24.4070340378686
Tajikistan,2006,34.4803707889679
Tajikistan,2007,40.6960068537209
Tajikistan,2008,44.1265382636326
Tajikistan,2009,31.4438313512332
Tajikistan,2010,35.8104365109815
Tajikistan,2011,41.7379526470592
Tajikistan,2012,42.2158394555421
Tajikistan,2013,43.7683574907798
Tajikistan,2014,37.1359784024863
Tajikistan,2015,27.306557809196
Tajikistan,2016,26.70605713952
Tajikistan,2017,29.6849721562403
Tajikistan,2018,28.1177144978702
Tajikistan,2019,27.9717718939678
Tajikistan,2020,26.8848943162433
Tajikistan,2021,32.6893794785095
Tajikistan,2022,49.8953124537059
Tajikistan,2023,37.8445781946342
Ukraine,2000,1.29420513887627
Ukraine,2001,2.1089006274417
Ukraine,2002,2.71179261802868
Ukraine,2003,2.92826299291522
Ukraine,2004,2.78636671290806
Ukraine,2005,2.69837586661565
Ukraine,2006,2.77249574349844
Ukraine,2007,3.55668840350097
Ukraine,2008,3.60532981523366
Ukraine,2009,4.88761394320421
Ukraine,2010,4.62788640442269
Ukraine,2011,4.61927764801976
Ukraine,2012,4.62726263528925
Ukraine,2013,5.07457234295051
Ukraine,2014,5.50845447210468
Ukraine,2015,9.30892003656947
Ukraine,2016,10.1461215673731
Ukraine,2017,10.8233966749932
Ukraine,2018,11.2261271501125
Ukraine,2019,10.2597396240268
Ukraine,2020,9.71346014003703
Ukraine,2021,9.04058383088579
Ukraine,2022,10.360546734925
Ukraine,2023,8.25895300735777
Uzbekistan,2000,
Uzbekistan,2001,
Uzbekistan,2002,
Uzbekistan,2003,
Uzbekistan,2004,
Uzbekistan,2005,7.17193652621924
Uzbekistan,2006,8.180185407437
Uzbekistan,2007,7.64888686011818
Uzbekistan,2008,12.2843587985737
Uzbekistan,2009,6.46524882083396
Uzbekistan,2010,6.90310933925255
Uzbekistan,2011,8.15471745166511
Uzbekistan,2012,9.01689935997158
Uzbekistan,2013,8.80231146942062
Uzbekistan,2014,8.42882528339748
Uzbekistan,2015,5.61878143544813
Uzbekistan,2016,6.72762541776342
Uzbekistan,2017,10.2293000322696
Uzbekistan,2018,12.9644724922439
Uzbekistan,2019,12.69979421355
Uzbekistan,2020,10.6613149757896
Uzbekistan,2021,11.9948771448385
Uzbekistan,2022,17.2173418207715
Uzbekistan,2023,13.8041936750861
