IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.587759
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.615303
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.647433
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.668943
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.663358
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.62067
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.6248
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.56087
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.56746
19,"Total fertility rate","Total fertility rate","World Population Prospects",2024,"United Nations Population Division",51,"Armenia","AM","ARM",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.60075
