country,year,urban_pop_pct
Georgia,2019,58.6304091780343
Georgia,2020,58.9990552763878
Georgia,2021,59.4293560618005
Georgia,2022,60.0101622679115
Georgia,2023,60.7523077799724
Kazakhstan,2000,56.0239607657944
Kazakhstan,2001,55.7813717131331
Kazakhstan,2002,55.5045911261585
Kazakhstan,2003,55.2115277236592
Kazakhstan,2004,54.9200902244233
Kazakhstan,2005,54.6481873472392
Kazakhstan,2006,54.4137278108953
Kazakhstan,2007,54.2346203341799
Kazakhstan,2008,54.1287736358813
Kazakhstan,2009,54.1167144748885
Kazakhstan,2010,54.2054127497102
Kazakhstan,2011,54.3996086425518
Kazakhstan,2012,54.69208192838
Kazakhstan,2013,55.0779764821252
Kazakhstan,2014,55.5524361787178
Kazakhstan,2015,56.1106048930882
Kazakhstan,2016,56.7476265001667
Kazakhstan,2017,57.4586448748837
Kazakhstan,2018,58.2388038921695
Kazakhstan,2019,59.0832474269546
Kazakhstan,2020,59.9871193541692
Kazakhstan,2021,61.030254280267
Kazakhstan,2022,61.444157327248
Kazakhstan,2023,61.7560919499181
Kyrgyzstan,2000,35.3216067847574
Kyrgyzstan,2001,35.3160273737858
Kyrgyzstan,2002,35.3118703235333
Kyrgyzstan,2003,35.3086519815317
Kyrgyzstan,2004,35.3058886953128
Kyrgyzstan,2005,35.3030968124082
Kyrgyzstan,2006,35.2997926803498
Kyrgyzstan,2007,35.2954926466692
Kyrgyzstan,2008,35.2897130588983
Kyrgyzstan,2009,35.2815523593591
Kyrgyzstan,2010,35.267768240398
Kyrgyzstan,2011,35.2466507961984
Kyrgyzstan,2012,35.218916221918
Kyrgyzstan,2013,35.1850529225105
Kyrgyzstan,2014,35.1455493029297
Kyrgyzstan,2015,35.1008937681291
Kyrgyzstan,2016,35.0515747230627
Kyrgyzstan,2017,34.9980805726839
Kyrgyzstan,2018,34.9408997219466
Kyrgyzstan,2019,34.8805205758044
Kyrgyzstan,2020,34.8174315392111
Kyrgyzstan,2021,34.7521210171204
Kyrgyzstan,2022,34.7003053497743
Kyrgyzstan,2023,34.706439175362
Latvia,2000,68.0520561441955
Latvia,2001,68.0163660524785
Latvia,2002,67.9813450702046
Latvia,2003,67.9493840506358
Latvia,2004,67.9206702831277
Latvia,2005,67.8953910570353
Latvia,2006,67.873733661714
Latvia,2007,67.8558853865191
Latvia,2008,67.8420335208058
Latvia,2009,67.8323653539295
Latvia,2010,67.8270681752453
Latvia,2011,67.8266897008267
Latvia,2012,67.8331638942219
Latvia,2013,67.847334482933
Latvia,2014,67.8686035364944
Latvia,2015,67.8965395668259
Latvia,2016,67.9307110858472
Latvia,2017,67.9706866054779
Latvia,2018,68.0160346376376
Latvia,2019,68.066323694246
Latvia,2020,68.1211222872228
Latvia,2021,68.1808791463693
Latvia,2022,68.2570218109034
Latvia,2023,68.3586316343061
Lithuania,2000,66.9768374826555
Lithuania,2001,66.9286097501613
Lithuania,2002,66.8887100219727
Lithuania,2003,66.7596664428711
Lithuania,2004,66.6022567749023
Lithuania,2005,66.5784912109375
Lithuania,2006,66.6381530761719
Lithuania,2007,66.7184982299805
Lithuania,2008,66.7527770996094
Lithuania,2009,66.7816619873047
Lithuania,2010,66.7712860107422
Lithuania,2011,66.7518340055756
Lithuania,2012,66.8536758422852
Lithuania,2013,67.0092086791992
Lithuania,2014,67.1514937628023
Lithuania,2015,67.2282485961914
Lithuania,2016,67.1894226074219
Lithuania,2017,67.1012954711914
Lithuania,2018,67.1464742010457
Lithuania,2019,67.245735168457
Lithuania,2020,67.4254608154297
Lithuania,2021,68.1912117004395
Lithuania,2022,68.2866452426813
Lithuania,2023,68.575454583199
Moldova,2000,40.4185981750488
Moldova,2001,39.6744270324707
Moldova,2002,39.620719909668
