country,year,gdp_per_capita_ppp
Georgia,2000,5706.27236527837
Georgia,2001,6074.08643017282
Georgia,2002,6464.32539672648
Georgia,2003,7227.73705960701
Georgia,2004,7693.91525392067
Georgia,2005,8485.58670534953
Georgia,2006,9337.98906420101
Georgia,2007,10567.2747164758
Georgia,2008,10856.1031328003
Georgia,2009,10553.0896395853
Georgia,2010,11294.3685917112
Georgia,2011,12288.6828861156
Georgia,2012,13193.9596974054
Georgia,2013,13913.0018245661
Georgia,2014,14475.3135356035
Georgia,2015,14936.8434116647
Georgia,2016,15442.9564358054
Georgia,2017,16237.6242230275
Georgia,2018,17228.6790847503
Georgia,2019,18186.8816465807
Georgia,2020,17031.1440283426
Georgia,2021,18915.6534005263
Georgia,2022,20966.5280391134
Georgia,2023,22590.5293649146
Kazakhstan,2000,12935.864368308
Kazakhstan,2001,14612.0290050498
Kazakhstan,2002,15960.8738450013
Kazakhstan,2003,17344.752672995
Kazakhstan,2004,18886.5811908122
Kazakhstan,2005,20565.5294470866
Kazakhstan,2006,22574.3429577665
Kazakhstan,2007,24351.3464102542
Kazakhstan,2008,24895.6645683245
Kazakhstan,2009,24901.3527260084
Kazakhstan,2010,26374.8407672795
Kazakhstan,2011,27946.1603432944
Kazakhstan,2012,28881.2417563728
Kazakhstan,2013,30177.4887221736
Kazakhstan,2014,30986.4379168995
Kazakhstan,2015,30893.7594851041
Kazakhstan,2016,30758.3227260598
Kazakhstan,2017,31524.4416339794
Kazakhstan,2018,32330.2274546567
Kazakhstan,2019,33298.2123695035
Kazakhstan,2020,32011.5491499004
Kazakhstan,2021,32945.8515725823
Kazakhstan,2022,33506.2614893237
Kazakhstan,2023,34703.2349286604
Kyrgyzstan,2000,3638.46314292227
Kyrgyzstan,2001,3795.89059344129
Kyrgyzstan,2002,3760.53239965257
Kyrgyzstan,2003,3982.92722017802
Kyrgyzstan,2004,4211.52248307857
Kyrgyzstan,2005,4156.95849230116
Kyrgyzstan,2006,4240.17017797554
Kyrgyzstan,2007,4558.71267894172
Kyrgyzstan,2008,4894.9427801376
Kyrgyzstan,2009,4969.96132720374
Kyrgyzstan,2010,4876.47964886483
Kyrgyzstan,2011,5092.85165751678
Kyrgyzstan,2012,4993.39431683528
Kyrgyzstan,2013,5418.54061993935
Kyrgyzstan,2014,5513.7544695252
Kyrgyzstan,2015,5600.2143342846
Kyrgyzstan,2016,5715.01041179003
Kyrgyzstan,2017,5861.22200040503
Kyrgyzstan,2018,5951.82876758606
Kyrgyzstan,2019,6087.60193826927
Kyrgyzstan,2020,5537.79547319377
Kyrgyzstan,2021,5736.47883415154
Kyrgyzstan,2022,6139.77788825006
Kyrgyzstan,2023,6575.77541290499
Latvia,2000,14554.2131724037
Latvia,2001,15695.906718153
Latvia,2002,17096.5594440255
Latvia,2003,18717.6675525538
Latvia,2004,20574.118201251
Latvia,2005,23213.3539355881
Latvia,2006,26431.8140222767
Latvia,2007,29423.7371235063
Latvia,2008,28726.9722869522
Latvia,2009,24520.6791475489
Latvia,2010,24119.7307848939
Latvia,2011,25308.7322074626
Latvia,2012,27496.5454583635
Latvia,2013,28375.1842887263
Latvia,2014,29243.7412502629
Latvia,2015,30599.6133134147
Latvia,2016,31668.5148442662
Latvia,2017,33036.3915943437
Latvia,2018,34729.7062763057
Latvia,2019,35208.1934590859
Latvia,2020,34225.8976044058
Latvia,2021,36912.0130602161
Latvia,2022,37718.7097958367
Latvia,2023,37277.7217221317
Lithuania,2000,15771.4269595328
Lithuania,2001,16933.0225490496
Lithuania,2002,18216.5452581272
Lithuania,2003,20302.9848798403
Lithuania,2004,21867.2861464791
Lithuania,2005,23944.7019948719
Lithuania,2006,26129.3392566938
Lithuania,2007,29370.7739737176
Lithuania,2008,30445.7809464936
Lithuania,2009,26217.5449293891
Lithuania,2010,26887.4913057701
Lithuania,2011,29240.7487851392
Lithuania,2012,30920.330402208
Lithuania,2013,32474.6413533554
Lithuania,2014,33975.0843756963
